0	0
100	100
200	200
300	300
400	400
500	500
600	600
700	700
800	800
900	900
1000	1000
1100	1100
1200	1200
1300	1300
1400	1056
1500	1500
1600	1600
1700	1700
1800	1800
1900	1900
2000	2000
2100	2100
2200	2200
2300	2300
2400	703
2500	2500
2600	2600
2700	2700
2800	1366
2900	2900
3000	3000
3100	3100
3200	3200
3300	3300
3400	3400
3500	3500
3600	3600
3700	3700
3800	3800
3900	3900
4000	4000
4100	4100
4200	4200
4300	4300
4400	4400
4500	4500
4600	4600
4700	4700
4800	4800
4900	4900
5000	5000
5100	5100
5200	5200
5300	5300
5400	2939
5500	5500
5600	5600
5700	5700
5800	5800
5900	5900
6000	6000
6100	6100
6200	6200
6300	5522
6400	168
6500	3285
6600	6600
6700	6700
6800	6800
6900	6900
7000	7000
7100	7100
7200	7200
7300	7300
7400	7400
7500	538
7600	7600
7700	7700
7800	7800
7900	7900
8000	8000
8100	8100
8200	8200
8300	8300
8400	8400
8500	8500
8600	8600
8700	8700
8800	8800
8900	8900
9000	9000
9100	9100
9200	9200
9300	716
9400	9400
9500	9500
9600	9600
9700	6210
9800	9800
9900	8997
10000	10000
10100	10100
10200	10200
10300	10300
10400	10400
10500	10500
10600	8873
10700	10700
10800	10800
10900	10900
11000	11000
11100	4578
11200	11200
11300	11300
11400	231
11500	11500
11600	11600
11700	11700
11800	11800
11900	11900
12000	12000
12100	12100
12200	12200
12300	11348
12400	12400
12500	12500
12600	4962
12700	12700
12800	11677
12900	2040
13000	10163
13100	6112
13200	10049
13300	13300
13400	13400
13500	13500
13600	873
13700	11847
13800	3900
13900	13900
14000	1674
14100	14100
14200	11767
14300	1634
14400	14400
14500	14500
14600	14600
14700	14700
14800	4586
14900	5138
15000	15000
15100	5384
15200	15200
15300	15300
15400	15400
15500	10964
15600	15600
15700	15700
15800	15800
15900	15900
16000	16000
16100	16100
16200	5566
16300	16300
16400	16400
16500	16500
16600	16600
16700	16700
16800	3110
16900	16900
17000	17000
17100	17100
17200	17200
17300	17300
17400	15959
17500	7284
17600	17600
17700	17700
17800	15303
17900	17900
18000	3099
18100	18100
18200	18200
18300	18300
18400	18400
18500	18500
18600	18600
18700	363
18800	4370
18900	18900
19000	5721
19100	8485
19200	19200
19300	19300
